# A7 · baseline de hits de los patrones B7 sobre v0 (tag v0), generada 2026-08-16.
# Uso: regenerar sobre la versión candidata con la misma lógica (cuerpo sin frontmatter; regex de biblia/b7-patrones-A.txt y biblia/b7-patrones-B.txt, una expresión -E por línea, case-insensitive) y listar a A7 solo las filas NUEVAS o MODIFICADAS.
# Un hit no es una falta (B7 §3). Nivel A = lectura obligatoria de A7 si es nuevo; nivel B = lectura si el capítulo es disparador o la línea menciona a Jean/Koppangen/26-nov.
# Falso positivo conocido de nivel B: «Cuchillo» como nombre de continuidad (caps. 13, 15, 17, 30, 36, 38); filtrar \bCuchillo\b con distinción de mayúsculas antes de listar.
nivel	fichero	linea	patron	texto
A	00-aviso.md	10	suicid	Esta novela trata el suicidio de un personaje y el duelo de su familia. El acto no se describe en ninguna página. Si en algún momento la lectura te resulta difícil, o si tú o alguien cercano está pasando por una crisis, al final del libro encontrarás recursos de ayuda.
A	99-recursos.md	10	suicid	Si tú o alguien cercano atraviesa una crisis o tiene pensamientos suicidas, pide ayuda. Hablar con alguien de confianza, con tu médico o con un servicio de urgencias es un primer paso.
A	99-recursos.md	12	suicid	- **España:** 024, línea de atención a la conducta suicida (24 horas, gratuita y confidencial). Teléfono de la Esperanza: 717 003 717. En una emergencia, 112.
B	cap-02.md	27	cuerda|\bcabo\b|cuchillo|navaja|cuchilla|\bhoja\b|\barma\b|\bcoche\b|\bgas\b|escape|ferry|naust|\bagua\b|\bmar\b|fiordo|hielo|fr[íi]o|acantilado|puente|carretera|Koppangen|\bUNN\b	En el pasillo, alguien caminó hacia el ascensor con un paraguas abierto a medias. El agua dejó manchas oscuras sobre la moqueta. Jean siguió el rastro hasta que desapareció fuera de su campo de visión.
A	cap-02.md	107	sobredosis|pastill|f[áa]rmac|medicaci|medicament|veneno|soga|dosis || hacer(se|te|me) da[ñn]o|ideaci[óo]n|sufri|sin dolor|no sufr	EDDA cambió de bloque. Jean lo reconoció por el tono idéntico y por el orden de las preguntas. Relaciones de apoyo. Consumo de alcohol. Medicación. Ideación. El sistema no necesitaba variar la voz para fingir tacto porque no fingía nada. Aplicaba el protocolo con la misma cortesía que usaba para reservar una sala.
A	cap-02.md	109	sobredosis|pastill|f[áa]rmac|medicaci|medicament|veneno|soga|dosis	Jean respondió sin mentir. Bebía poco. No tomaba medicación. Conservaba vínculos familiares. Había acudido a todas las sesiones indicadas por salud laboral. No añadía nada que no le hubieran preguntado.
A	cap-02.md	111	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta || hacer(se|te|me) da[ñn]o|ideaci[óo]n|sufri|sin dolor|no sufr	—¿Has pensado que estarías mejor muerta o en hacerte daño?
A	cap-02.md	115	hacer(se|te|me) da[ñn]o|ideaci[óo]n|sufri|sin dolor|no sufr	—No voy a hacerme daño en el trabajo.
A	cap-02.md	143	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	Jean conocía aquella pregunta. La había considerado débil porque dependía demasiado de la cultura, los horarios y la convivencia. El equipo clínico la defendió. Una respuesta concreta aportaba más que seis escalas de satisfacción, dijeron.
A	cap-02.md	145	descans|\bpaz\b|liberaci|liber[óo]|alivio|por fin|al fin\b|l[óo]gic|coherente con ella|valiente|cobard|ego[íi]s|d[ée]bil|no pudo m[áa]s|mejor as[íi]|mejor muerta	La respuesta verdadera estaba entre las cuatro y las cinco de la madrugada, cuando ya no tenía obligación de dormir y aún no debía levantarse. En el piso quieto ya no fingía que el descanso llegaría si mantenía los ojos cerrados.
B	cap-02.md	203	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	En 2058, durante la conferencia de la ACM, una mujer la había presentado como «la visionaria detrás de SYNVEV». Jean pasó veinte minutos en el escenario explicando límites mientras el auditorio aplaudía posibilidades. Después encontró la palabra visionaria impresa en una pantalla del vestíbulo y le supo a ceniza, igual que el café que llevaba horas en la jarra. Aún recibía invitaciones que empezaban citando aquella presentación y acababan pidiéndole futuros que nunca había prometido.
B	cap-02.md	205	explica|fases del duelo|superar|cerrar el duelo|pasar p[áa]gina|seguir adelante|sanar|curar|se[ñn]ales|pod[íi]ais haber|si hubier|deber[íi]ais	En la segunda ráfaga térmica, la sexta unidad repitió dos errores corregibles. Jean la apartó para revisión, adjuntó los ocho segundos relevantes del registro y ordenó al laboratorio que reprodujese la prueba. Las otras ocho superaron el protocolo y el sistema repartió su aprobación entre fabricación, seguridad y archivo.
